,Year,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,contract_duration_days,pub_year,pub_month,pub_dow,pub_epoch_days,time_to_close_days,prebid_lead_days,award_publish_lag_days,award_decision_lag_days,ntp_lag_days,contract_length_days,contract_effectivity_lag_days
Year,1.0,-0.008797875436849588,0.007242757673504907,0.01367680411698681,-0.046460314587121014,0.001003204754597544,0.7849717971733904,-0.34370447363741763,-0.012000426865692278,0.715657883747279,-0.1934885321720617,-0.23681810236598225,-0.31511754634836076,-0.28502870659795193,-0.2610235668568373,0.3990941744671679,-0.31078504861347267
log1p_Approved_Budget_of_the_Contract,-0.008797875436849588,1.0,0.2499644287437823,0.14516363973311064,0.3165689264841171,0.004791502890002691,0.010828506274412928,0.10605381121867159,-0.03335680000084597,0.03374008939865911,-0.045446419554552926,0.02418026379268365,0.13342678677866823,-0.05695003103414216,-0.08238080074172024,0.002095631188243946,-0.010760570016214081
log1p_Item_Budget,0.007242757673504907,0.2499644287437823,1.0,0.5494523699241033,-0.061740125076463474,0.00563364612144311,0.040692692274177884,0.05768687773285703,-0.016127958306494196,0.054079924966172525,0.06770992667586972,-0.004417895858350758,-0.016426221033523314,-0.14943711432418166,0.011899043082910721,-0.078430939464421,0.015030818294580611
log1p_Contract_Amount,0.01367680411698681,0.14516363973311064,0.5494523699241033,1.0,-0.16144495910079576,0.006327512472188043,0.03833048525603846,0.037232903328635276,-0.029508842438725348,0.04719734536562078,0.050977066995935176,0.010350728436396603,-0.048520409622212414,0.01377991490348548,-0.045439717742435236,0.032715842911424126,-0.003562816433794812
log1p_Quantity,-0.046460314587121014,0.3165689264841171,-0.061740125076463474,-0.16144495910079576,1.0,-0.004992259798940882,-0.035221705616482926,0.0641689927449907,-0.022769205917051245,-0.02116150320086195,0.000721631014155538,0.006850938790397059,0.07867212879959358,-0.005113347058024983,-0.015429779510535252,-0.032936586470044056,0.010221607389105217
contract_duration_days,0.001003204754597544,0.004791502890002691,0.00563364612144311,0.006327512472188043,-0.004992259798940882,1.0,0.0009051567500592309,0.00018412235864732665,0.00017977335069971847,0.0009772066170309383,-0.0008786728042014074,-0.00046778464904006074,-0.00047941990841180403,-0.0012545751612266151,-0.002837217462255458,-0.0005027988382490517,-0.001102511507261538
pub_year,0.7849717971733904,0.010828506274412928,0.040692692274177884,0.03833048525603846,-0.035221705616482926,0.0009051567500592309,1.0,-0.15106702994304638,-0.05510835161833985,0.9758851534490479,-0.2408791604435301,-0.28660102278231747,-0.4089725533358344,-0.3907169643792912,-0.281641852918949,0.49073865812793416,-0.31866373460339287
pub_month,-0.34370447363741763,0.10605381121867159,0.05768687773285703,0.037232903328635276,0.0641689927449907,0.00018412235864732665,-0.15106702994304638,1.0,-0.010601071925652664,0.0674837108224255,-0.04251670082997971,-0.09996762970485641,-0.018772790203008885,-0.02239261224438628,-0.008369928116679169,0.006476375063310001,-0.006995068874844584
pub_dow,-0.012000426865692278,-0.03335680000084597,-0.016127958306494196,-0.029508842438725348,-0.022769205917051245,0.00017977335069971847,-0.05510835161833985,-0.010601071925652664,1.0,-0.05929469279679353,-0.027985786395017226,0.01201132219362314,0.03136677316352944,0.0371754211013446,-0.004401234622196279,0.011173742037749755,-0.0147929373182546
pub_epoch_days,0.715657883747279,0.03374008939865911,0.054079924966172525,0.04719734536562078,-0.02116150320086195,0.0009772066170309383,0.9758851534490479,0.0674837108224255,-0.05929469279679353,1.0,-0.25236273897680433,-0.31213129614640556,-0.41729303182404187,-0.39934321271598516,-0.28543606158339346,0.4958778073332204,-0.32204686431463353
time_to_close_days,-0.1934885321720617,-0.045446419554552926,0.06770992667586972,0.050977066995935176,0.000721631014155538,-0.0008786728042014074,-0.2408791604435301,-0.04251670082997971,-0.027985786395017226,-0.25236273897680433,1.0,0.11497443463808274,-0.06723244783049016,-0.07158670493890318,0.2535635936658873,-0.13662695272383346,0.2129689443795227
prebid_lead_days,-0.23681810236598225,0.02418026379268365,-0.004417895858350758,0.010350728436396603,0.006850938790397059,-0.00046778464904006074,-0.28660102278231747,-0.09996762970485641,0.01201132219362314,-0.31213129614640556,0.11497443463808274,1.0,0.22506821359422163,0.1376624369862756,0.07353533821123309,-0.14711971108325209,0.21454270673341677
award_publish_lag_days,-0.31511754634836076,0.13342678677866823,-0.016426221033523314,-0.048520409622212414,0.07867212879959358,-0.00047941990841180403,-0.4089725533358344,-0.018772790203008885,0.03136677316352944,-0.41729303182404187,-0.06723244783049016,0.22506821359422163,1.0,0.5682319939288554,-0.02398850149299825,-0.03236434675162594,0.003614746324329659
